Timestamp,LogLevel,Message
"2024-10-30 02:08:41,041",INFO,"R- Disallowed paths for domain www.uwec.edu: /core/, /profiles/citizen/, /README.md, /composer/Metapackage/README.txt, /composer/Plugin/ProjectMessage/README.md, /composer/Plugin/Scaffold/README.md, /composer/Plugin/VendorHardening/README.txt, /composer/Template/README.txt, /modules/README.txt, /sites/README.txt, /themes/README.txt, /web.config, /admin/, /comment/reply/, /filter/tips, /node/add/, /search/, /user/register, /user/password, /user/login, /user/logout, /media/oembed, /*/media/oembed, /index.php/admin/, /index.php/comment/reply/, /index.php/filter/tips, /index.php/node/add/, /index.php/search/, /index.php/user/password, /index.php/user/register, /index.php/user/login, /index.php/user/logout, /index.php/media/oembed, /index.php/*/media/oembed"
"2024-10-30 02:08:41,131",INFO,Successfully fetched https://www.uwec.edu/
"2024-10-30 02:08:41,160",INFO,Word count completed for https://www.uwec.edu/
"2024-10-30 02:08:41,168",INFO,"Details for website https://www.uwgb.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Green Bay', 'Institution': 'University of Wisconsin-Green Bay'}"
"2024-10-30 02:08:41,367",INFO,R- Successfully read robots.txt from https://www.uwgb.edu/robots.txt
"2024-10-30 02:08:41,368",INFO,"R- Disallowed paths for domain www.uwgb.edu: /_content/, /campus/, /crm/, /facilities/building-floor-plans/, /fort-knox/, /sandbox/, /UWGBCMS/media/facilities-planning-management/Floor%20Plans/"
"2024-10-30 02:08:41,599",INFO,Successfully fetched https://www.uwgb.edu/
"2024-10-30 02:08:41,695",INFO,Word count completed for https://www.uwgb.edu/
"2024-10-30 02:08:41,708",INFO,"Details for website https://www.uwlax.edu/: {'Category': 'College', 'State': 'WI', 'City': 'La Crosse', 'Institution': 'University of Wisconsin-La Crosse'}"
"2024-10-30 02:08:41,927",INFO,R- Successfully read robots.txt from https://www.uwlax.edu/robots.txt
"2024-10-30 02:08:41,927",INFO,"R- Disallowed paths for domain www.uwlax.edu: /workarea/, /widgets/, /logs/, /masterpages/, /app_browsers/, /app_code/, /app_data/, /app_globalresources/, /app_webreferences, /assets/, /assetmanagement/, /xmlfiles/, /sandbox1/, /sandbox/, /Sandbox/, /archive/, /Archive/, /uploadedfiles/, /uploadedFiles/, /UploadedFiles/, /uploadedimages/, /uploadedImages/, /UploadedImages/, /recsports/app/, /RecSports/App/, /RecSports/app/"
"2024-10-30 02:08:42,338",INFO,Successfully fetched https://www.uwlax.edu/
"2024-10-30 02:08:42,390",INFO,Word count completed for https://www.uwlax.edu/
"2024-10-30 02:08:42,403",INFO,"Details for website https://www.uwosh.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Oshkosh', 'Institution': 'University of Wisconsin-Oshkosh'}"
"2024-10-30 02:08:42,726",INFO,R- Successfully read robots.txt from https://www.uwosh.edu/robots.txt
"2024-10-30 02:08:42,727",INFO,"R- Disallowed paths for domain www.uwosh.edu: /search-results/, */search-results/, *post_type=tribe_events*, *hide_subsequent_recurrences=*, *tribe-bar-date=*, *tribe-venue=*, *eventDisplay=*, *eventDate=*, *paged=*, *pagename=*, *shortcode=*, *ical=*, *outlook-ical=*, *related_series=*, *tribe_geofence=*, *tribe_organizer=*"
"2024-10-30 02:08:44,046",INFO,Successfully fetched https://www.uwosh.edu/
"2024-10-30 02:08:44,062",INFO,Word count completed for https://www.uwosh.edu/
"2024-10-30 02:08:44,067",INFO,"Details for website https://www.uwp.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Kenosha', 'Institution': 'University of Wisconsin-Parkside'}"
"2024-10-30 02:08:44,276",INFO,R- Successfully read robots.txt from https://www.uwp.edu/robots.txt
"2024-10-30 02:08:44,276",INFO,"R- Disallowed paths for domain www.uwp.edu: /registrardocs/, /facultyandstaff/hlc/, /tntauction/, /explore/offices/sponsoredprograms/, /learn/academiccatalog/2015-2017/, /learn/academiccatalog/2017-2019/, /catalog-pdfs/, /facultyandstaff/innovationhub/, /learn/programs/ipad/, /uwpapps/, /apply/admissions/landing/, /connect/communityengagement/communityandbusinessengagement/trainings/"
